timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,tcp_flags,tcp_seq,tcp_ack,payload_size
1780056638.912616,172.20.0.20,172.20.0.10,TCP,47532,5001,74,S,4125539669,0,0
1780056638.912688,172.20.0.10,172.20.0.20,TCP,5001,47532,74,SA,3722373223,4125539670,0
1780056638.922989,172.20.0.20,172.20.0.10,TCP,47532,5001,66,A,4125539670,3722373224,0
1780056638.922996,172.20.0.20,172.20.0.10,TCP,47532,5001,193,PA,4125539670,3722373224,127
1780056638.923268,172.20.0.10,172.20.0.20,TCP,5001,47532,66,A,3722373224,4125539797,0
1780056638.925303,172.20.0.10,172.20.0.20,TCP,5001,47532,68,PA,3722373224,4125539797,2
1780056638.935444,172.20.0.20,172.20.0.10,TCP,47532,5001,66,A,4125539797,3722373226,0
1780056638.935447,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125539797,3722373226,2896
1780056638.935448,172.20.0.20,172.20.0.10,TCP,47532,5001,1266,PA,4125542693,3722373226,1200
1780056638.935448,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125543893,3722373226,2896
1780056638.935449,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125546789,3722373226,2896
1780056638.93545,172.20.0.20,172.20.0.10,TCP,47532,5001,1514,A,4125549685,3722373226,1448
1780056638.93545,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125551133,3722373226,2896
1780056638.935493,172.20.0.10,172.20.0.20,TCP,5001,47532,66,A,3722373226,4125542693,0
1780056638.9355,172.20.0.10,172.20.0.20,TCP,5001,47532,66,A,3722373226,4125546789,0
1780056638.935503,172.20.0.10,172.20.0.20,TCP,5001,47532,66,A,3722373226,4125549685,0
1780056638.935512,172.20.0.10,172.20.0.20,TCP,5001,47532,66,A,3722373226,4125554029,0
1780056638.945861,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125554029,3722373226,2896
1780056638.945869,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125556925,3722373226,2896
1780056638.945871,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125559821,3722373226,2896
1780056638.945873,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125562717,3722373226,2896
1780056638.945874,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125565613,3722373226,2896
1780056638.945876,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125568509,3722373226,2896
1780056638.945878,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125571405,3722373226,2896
1780056638.945879,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125574301,3722373226,2896
1780056638.945881,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125577197,3722373226,2896
1780056638.945884,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125580093,3722373226,2896
1780056638.946056,172.20.0.10,172.20.0.20,TCP,5001,47532,66,A,3722373226,4125556925,0
1780056638.946094,172.20.0.10,172.20.0.20,TCP,5001,47532,66,A,3722373226,4125559821,0
1780056638.946143,172.20.0.10,172.20.0.20,TCP,5001,47532,66,A,3722373226,4125582989,0
1780056638.956475,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125582989,3722373226,2896
1780056638.956478,172.20.0.20,172.20.0.10,TCP,47532,5001,2962,PA,4125585885,3722373226,2896
1780056638.956479,172.20.0.20,172.20.0.10,TCP,47532,5001,4410,PA,4125588781,3722373226,4344
1780056638.95648,172.20.0.20,172.20.0.10,TCP,47532,5001,7306,PA,4125593125,3722373226,7240
