timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,tcp_flags,tcp_seq,tcp_ack,payload_size
1780057605.483386,172.20.0.20,172.20.0.10,TCP,59674,5001,74,S,4158570281,0,0
1780057605.483527,172.20.0.10,172.20.0.20,TCP,5001,59674,74,SA,4193549787,4158570282,0
1780057605.533926,172.20.0.20,172.20.0.10,TCP,59674,5001,193,PA,4158570282,4193549788,127
1780057605.534074,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549788,4158570409,0
1780057605.53601,172.20.0.10,172.20.0.20,TCP,5001,59674,68,PA,4193549788,4158570409,2
1780057605.587336,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158570409,4193549790,2896
1780057605.587454,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158573305,0
1780057605.587479,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158574505,4193549790,2896
1780057605.58748,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158577401,4193549790,2896
1780057605.58748,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158580297,4193549790,1448
1780057605.587481,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158581745,4193549790,2896
1780057605.587501,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158573305,0
1780057605.587508,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158573305,0
1780057605.587515,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158573305,0
1780057605.588815,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158573305,0
1780057605.637746,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158584641,4193549790,2896
1780057605.637752,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158587537,4193549790,2896
1780057605.637753,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158590433,4193549790,2896
1780057605.637753,172.20.0.20,172.20.0.10,TCP,59674,5001,1266,PA,4158573305,4193549790,1200
1780057605.637754,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158593329,4193549790,1448
1780057605.637856,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158593329,0
1780057605.680875,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158594777,0
1780057605.688167,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158594777,4193549790,2896
1780057605.688174,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158597673,4193549790,2896
1780057605.688175,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158600569,4193549790,2896
1780057605.6883,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158597673,0
1780057605.688319,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158600569,0
1780057605.688322,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158603465,0
1780057605.73112,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158603465,4193549790,2896
1780057605.731252,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158606361,0
1780057605.738433,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158606361,4193549790,2896
1780057605.738439,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158609257,4193549790,2896
1780057605.738439,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158612153,4193549790,2896
1780057605.73844,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158615049,4193549790,1448
1780057605.73853,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158609257,0
1780057605.738544,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158612153,0
1780057605.738547,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158615049,0
1780057605.738548,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158616497,0
1780057605.781515,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158616497,4193549790,2896
1780057605.781599,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158619393,0
1780057605.788765,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158619393,4193549790,2896
1780057605.788767,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158622289,4193549790,2896
1780057605.788768,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158625185,4193549790,2896
1780057605.788768,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158628081,4193549790,1448
1780057605.788825,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158622289,0
1780057605.788841,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158625185,0
1780057605.788843,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158628081,0
1780057605.788844,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158629529,0
1780057605.831793,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158629529,4193549790,2896
1780057605.831928,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158632425,0
1780057605.839193,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158632425,4193549790,2896
1780057605.8392,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158635321,4193549790,2896
1780057605.839202,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158638217,4193549790,2896
1780057605.839203,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158641113,4193549790,2896
1780057605.839368,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158635321,0
1780057605.839389,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158638217,0
1780057605.839397,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158641113,0
1780057605.839403,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158644009,0
1780057605.882096,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158644009,4193549790,2896
1780057605.882197,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158646905,0
1780057605.889457,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158646905,4193549790,1448
1780057605.889468,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158651249,4193549790,2896
1780057605.889469,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158654145,4193549790,2896
1780057605.88968,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158648353,0
1780057605.889715,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158648353,0
1780057605.889723,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158648353,0
1780057605.932594,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158658489,4193549790,2896
1780057605.93265,172.20.0.10,172.20.0.20,TCP,5001,59674,86,A,4193549790,4158648353,0
1780057605.939786,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158661385,4193549790,1448
1780057605.939791,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158662833,4193549790,2896
1780057605.939792,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158648353,4193549790,1448
1780057605.939881,172.20.0.10,172.20.0.20,TCP,5001,59674,86,A,4193549790,4158648353,0
1780057605.939897,172.20.0.10,172.20.0.20,TCP,5001,59674,86,A,4193549790,4158648353,0
1780057605.939901,172.20.0.10,172.20.0.20,TCP,5001,59674,86,A,4193549790,4158649801,0
1780057605.983086,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158665729,4193549790,1448
1780057605.983158,172.20.0.10,172.20.0.20,TCP,5001,59674,86,A,4193549790,4158649801,0
1780057605.990081,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158667177,4193549790,1448
1780057605.990086,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158668625,4193549790,2896
1780057605.990086,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158671521,4193549790,1448
1780057605.990142,172.20.0.10,172.20.0.20,TCP,5001,59674,86,A,4193549790,4158649801,0
1780057605.990156,172.20.0.10,172.20.0.20,TCP,5001,59674,86,A,4193549790,4158649801,0
1780057605.990161,172.20.0.10,172.20.0.20,TCP,5001,59674,86,A,4193549790,4158649801,0
1780057606.033363,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158649801,4193549790,1448
1780057606.033521,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158657041,0
1780057606.040422,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158672969,4193549790,2896
1780057606.040427,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158675865,4193549790,1448
1780057606.040472,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158657041,0
1780057606.040483,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158657041,0
1780057606.08378,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158677313,4193549790,2896
1780057606.085077,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158657041,0
1780057606.090626,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158657041,4193549790,1448
1780057606.090632,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158681657,4193549790,1448
1780057606.090726,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158680209,0
1780057606.090756,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158680209,0
1780057606.135649,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158683105,4193549790,2896
1780057606.135703,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158680209,0
1780057606.14097,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158686001,4193549790,2896
1780057606.140974,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158688897,4193549790,2896
1780057606.141021,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158680209,0
1780057606.142306,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158680209,0
1780057606.158936,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158680209,4193549790,1448
1780057606.159117,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158691793,0
1780057606.185986,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158691793,4193549790,1448
1780057606.192567,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158693241,4193549790,2896
1780057606.192656,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158696137,0
1780057606.209355,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158696137,4193549790,1448
1780057606.242862,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158700481,4193549790,2896
1780057606.242926,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158697585,0
1780057606.293406,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158703377,4193549790,2896
1780057606.293491,172.20.0.10,172.20.0.20,TCP,5001,59674,78,A,4193549790,4158697585,0
1780057606.343555,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158697585,4193549790,2896
1780057606.343654,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158706273,0
1780057606.393721,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158706273,4193549790,1448
1780057606.393726,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158707721,4193549790,1448
1780057606.393727,172.20.0.20,172.20.0.10,TCP,59674,5001,1514,A,4158709169,4193549790,1448
1780057606.393813,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158709169,0
1780057606.436808,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158710617,0
1780057606.444154,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158710617,4193549790,2896
1780057606.445131,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158713513,0
1780057606.487146,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158713513,4193549790,2896
1780057606.487406,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158716409,0
1780057606.495347,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158716409,4193549790,2896
1780057606.495589,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158719305,0
1780057606.537717,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158719305,4193549790,2896
1780057606.538014,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158722201,0
1780057606.545758,172.20.0.20,172.20.0.10,TCP,59674,5001,2962,PA,4158722201,4193549790,2896
1780057606.545984,172.20.0.10,172.20.0.20,TCP,5001,59674,66,A,4193549790,4158725097,0
