timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,tcp_flags,tcp_seq,tcp_ack,payload_size
1780062223.990178,172.20.0.20,172.20.0.10,UDP,48963,5002,190,,,,148
1780062223.990458,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.092005,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.092006,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.092006,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.092007,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.092007,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.092007,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.092008,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.092008,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.092009,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.09201,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.09201,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.09227,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092311,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092323,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092331,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092338,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092348,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092356,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092378,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.0924,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092422,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092444,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.092466,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.193509,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.193514,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.193514,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.193704,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.193739,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.193748,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.593507,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.593512,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062224.593665,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062224.593706,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.093354,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.093605,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.194886,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.195168,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.594522,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.594714,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.69525,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.695254,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.695255,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.695255,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.695255,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.695256,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.695257,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.695257,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.695259,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.69526,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.69526,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.695347,172.20.0.20,172.20.0.10,UDP,48963,5002,1087,,,,1045
1780062225.695447,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.695494,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.695504,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.695513,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.695522,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.695531,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.69554,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.695548,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.695557,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.695565,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
1780062225.695573,172.20.0.10,172.20.0.20,UDP,5002,48963,63,,,,21
