timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,tcp_flags,tcp_seq,tcp_ack,payload_size
1780060776.909101,172.20.0.20,172.20.0.10,TCP,60428,5001,74,S,3042437320,0,0
1780060776.909172,172.20.0.10,172.20.0.20,TCP,5001,60428,74,SA,412042512,3042437321,0
1780060777.010141,172.20.0.20,172.20.0.10,TCP,60428,5001,193,PA,3042437321,412042513,127
1780060777.010283,172.20.0.10,172.20.0.20,TCP,5001,60428,66,A,412042513,3042437448,0
1780060777.01189,172.20.0.10,172.20.0.20,TCP,5001,60428,68,PA,412042513,3042437448,2
1780060777.112648,172.20.0.20,172.20.0.10,TCP,60428,5001,66,A,3042437448,412042515,0
1780060777.112653,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042437448,412042515,2896
1780060777.112653,172.20.0.20,172.20.0.10,TCP,60428,5001,1266,PA,3042440344,412042515,1200
1780060777.112654,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042441544,412042515,2896
1780060777.112654,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042444440,412042515,2896
1780060777.112655,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042448784,412042515,2896
1780060777.112732,172.20.0.10,172.20.0.20,TCP,5001,60428,66,A,412042515,3042440344,0
1780060777.112744,172.20.0.10,172.20.0.20,TCP,5001,60428,66,A,412042515,3042444440,0
1780060777.112748,172.20.0.10,172.20.0.20,TCP,5001,60428,66,A,412042515,3042447336,0
1780060777.11275,172.20.0.10,172.20.0.20,TCP,5001,60428,78,A,412042515,3042447336,0
1780060777.213321,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042451680,412042515,2896
1780060777.213327,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042454576,412042515,2896
1780060777.213327,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042457472,412042515,2896
1780060777.213328,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042460368,412042515,2896
1780060777.213329,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042463264,412042515,2896
1780060777.21333,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042469056,412042515,2896
1780060777.213331,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042471952,412042515,2896
1780060777.213412,172.20.0.10,172.20.0.20,TCP,5001,60428,78,A,412042515,3042447336,0
1780060777.213433,172.20.0.10,172.20.0.20,TCP,5001,60428,78,A,412042515,3042447336,0
1780060777.214645,172.20.0.10,172.20.0.20,TCP,5001,60428,86,A,412042515,3042447336,0
1780060777.242573,172.20.0.20,172.20.0.10,TCP,60428,5001,1514,A,3042447336,412042515,1448
1780060777.242633,172.20.0.10,172.20.0.20,TCP,5001,60428,78,A,412042515,3042466160,0
1780060777.31382,172.20.0.20,172.20.0.10,TCP,60428,5001,1514,A,3042474848,412042515,1448
1780060777.313826,172.20.0.20,172.20.0.10,TCP,60428,5001,2962,PA,3042476296,412042515,2896
1780060777.313876,172.20.0.10,172.20.0.20,TCP,5001,60428,78,A,412042515,3042466160,0
